	title	year	rating
0	The Shawshank Redemption(1994)	1994	9.2
1	The Godfather(1972)	1972	9.2
2	The Dark Knight(2008)	2008	9.0
3	The Godfather: Part II(1974)	1974	9.0
4	12 Angry Men(1957)	1957	9.0
5	Schindler's List(1993)	1993	8.9
6	The Lord of the Rings: The Return of the King(2003)	2003	8.9
7	Pulp Fiction(1994)	1994	8.9
8	The Lord of the Rings: The Fellowship of the Ring(2001)	2001	8.8
9	The Good, the Bad and the Ugly(1966)	1966	8.8
10	Forrest Gump(1994)	1994	8.8
11	Fight Club(1999)	1999	8.8
12	Inception(2010)	2010	8.7
13	The Lord of the Rings: The Two Towers(2002)	2002	8.7
14	Star Wars: Episode V - The Empire Strikes Back(1980)	1980	8.7
15	The Matrix(1999)	1999	8.7
16	Goodfellas(1990)	1990	8.7
17	One Flew Over the Cuckoo's Nest(1975)	1975	8.6
18	Se7en(1995)	1995	8.6
19	Seven Samurai(1954)	1954	8.6
20	It's a Wonderful Life(1946)	1946	8.6
21	The Silence of the Lambs(1991)	1991	8.6
22	Saving Private Ryan(1998)	1998	8.6
23	City of God(2002)	2002	8.6
24	Life Is Beautiful(1997)	1997	8.6
25	The Green Mile(1999)	1999	8.6
26	Star Wars(1977)	1977	8.6
27	Interstellar(2014)	2014	8.6
28	Terminator 2: Judgment Day(1991)	1991	8.5
29	Back to the Future(1985)	1985	8.5
30	Spirited Away(2001)	2001	8.5
31	Psycho(1960)	1960	8.5
32	The Pianist(2002)	2002	8.5
33	Léon: The Professional(1994)	1994	8.5
34	Parasite(2019)	2019	8.5
35	The Lion King(1994)	1994	8.5
36	Gladiator(2000)	2000	8.5
37	American History X(1998)	1998	8.5
38	The Usual Suspects(1995)	1995	8.5
39	The Departed(2006)	2006	8.5
40	The Prestige(2006)	2006	8.5
41	Casablanca(1942)	1942	8.5
42	Whiplash(2014)	2014	8.5
43	The Intouchables(2011)	2011	8.5
44	Modern Times(1936)	1936	8.5
45	Once Upon a Time in the West(1968)	1968	8.5
46	Hara-Kiri(1962)	1962	8.5
47	Grave of the Fireflies(1988)	1988	8.5
48	Alien(1979)	1979	8.4
49	Rear Window(1954)	1954	8.4
50	City Lights(1931)	1931	8.4
51	Memento(2000)	2000	8.4
52	Cinema Paradiso(1988)	1988	8.4
53	Apocalypse Now(1979)	1979	8.4
54	Indiana Jones and the Raiders of the Lost Ark(1981)	1981	8.4
55	Django Unchained(2012)	2012	8.4
56	WALL·E(2008)	2008	8.4
57	The Lives of Others(2006)	2006	8.4
58	Sunset Blvd	1950	8.4
59	The Shining(1980)	1980	8.4
60	Paths of Glory(1957)	1957	8.4
61	The Great Dictator(1940)	1940	8.4
62	Avengers: Infinity War(2018)	2018	8.4
63	Witness for the Prosecution(1957)	1957	8.4
64	Aliens(1986)	1986	8.4
65	American Beauty(1999)	1999	8.3
66	The Dark Knight Rises(2012)	2012	8.3
67	Dr	1964	8.3
68	Spider-Man: Into the Spider-Verse(2018)	2018	8.3
69	Joker(2019)	2019	8.3
70	Oldboy(2003)	2003	8.3
71	Braveheart(1995)	1995	8.3
72	Toy Story(1995)	1995	8.3
73	Amadeus(1984)	1984	8.3
74	Coco(2017)	2017	8.3
75	Spider-Man: No Way Home(2021)	2021	8.3
76	Inglourious Basterds(2009)	2009	8.3
77	The Boat(1981)	1981	8.3
78	Avengers: Endgame(2019)	2019	8.3
79	Princess Mononoke(1997)	1997	8.3
80	Once Upon a Time in America(1984)	1984	8.3
81	Good Will Hunting(1997)	1997	8.3
82	Toy Story 3(2010)	2010	8.3
83	Requiem for a Dream(2000)	2000	8.3
84	3 Idiots(2009)	2009	8.3
85	Your Name	2016	8.3
86	Singin' in the Rain(1952)	1952	8.3
87	Star Wars: Episode VI - Return of the Jedi(1983)	1983	8.3
88	Reservoir Dogs(1992)	1992	8.3
89	Eternal Sunshine of the Spotless Mind(2004)	2004	8.3
90	2001: A Space Odyssey(1968)	1968	8.3
91	High and Low(1963)	1963	8.3
92	Citizen Kane(1941)	1941	8.3
93	Lawrence of Arabia(1962)	1962	8.3
94	Capernaum(2018)	2018	8.3
95	M(1931)	1931	8.3
96	North by Northwest(1959)	1959	8.3
97	The Hunt(2012)	2012	8.3
98	Vertigo(1958)	1958	8.3
99	Amélie(2001)	2001	8.3
100	A Clockwork Orange(1971)	1971	8.3
101	Full Metal Jacket(1987)	1987	8.2
102	Scarface(1983)	1983	8.2
103	Come and See(1985)	1985	8.2
104	Double Indemnity(1944)	1944	8.2
105	The Apartment(1960)	1960	8.2
106	Taxi Driver(1976)	1976	8.2
107	To Kill a Mockingbird(1962)	1962	8.2
108	The Sting(1973)	1973	8.2
109	Up(2009)	2009	8.2
110	L	1997	8.2
111	Hamilton(2020)	2020	8.2
112	Heat(1995)	1995	8.2
113	Ikiru(1952)	1952	8.2
114	Snatch(2000)	2000	8.2
115	Die Hard(1988)	1988	8.2
116	Indiana Jones and the Last Crusade(1989)	1989	8.2
117	A Separation(2011)	2011	8.2
118	Metropolis(1927)	1927	8.2
119	Bicycle Thieves(1948)	1948	8.2
120	Incendies(2010)	2010	8.2
121	1917(2019)	2019	8.2
122	Like Stars on Earth(2007)	2007	8.2
123	Batman Begins(2005)	2005	8.2
124	For a Few Dollars More(1965)	1965	8.2
125	Dangal(2016)	2016	8.2
126	Downfall(2004)	2004	8.2
127	The Kid(1921)	1921	8.2
128	Some Like It Hot(1959)	1959	8.2
129	The Batman(2022)	2022	8.2
130	The Father(2020)	2020	8.2
131	All About Eve(1950)	1950	8.2
132	The Wolf of Wall Street(2013)	2013	8.2
133	Green Book(2018)	2018	8.2
134	Unforgiven(1992)	1992	8.2
135	Casino(1995)	1995	8.2
136	Judgment at Nuremberg(1961)	1961	8.2
137	Pan's Labyrinth(2006)	2006	8.2
138	Ran(1985)	1985	8.2
139	A Beautiful Mind(2001)	2001	8.2
140	The Sixth Sense(1999)	1999	8.2
141	Monty Python and the Holy Grail(1975)	1975	8.2
142	There Will Be Blood(2007)	2007	8.2
143	The Truman Show(1998)	1998	8.2
144	Yojimbo(1961)	1961	8.2
145	The Treasure of the Sierra Madre(1948)	1948	8.2
146	Shutter Island(2010)	2010	8.2
147	The Great Escape(1963)	1963	8.1
148	Rashomon(1950)	1950	8.1
149	Jurassic Park(1993)	1993	8.1
150	Kill Bill: Vol	2003	8.1
151	No Country for Old Men(2007)	2007	8.1
152	Finding Nemo(2003)	2003	8.1
153	Raging Bull(1980)	1980	8.1
154	V for Vendetta(2005)	2005	8.1
155	The Elephant Man(1980)	1980	8.1
156	Gone with the Wind(1939)	1939	8.1
157	Chinatown(1974)	1974	8.1
158	Inside Out(2015)	2015	8.1
159	Lock, Stock and Two Smoking Barrels(1998)	1998	8.1
160	The Thing(1982)	1982	8.1
161	Dial M for Murder(1954)	1954	8.1
162	The Secret in Their Eyes(2009)	2009	8.1
163	Howl's Moving Castle(2004)	2004	8.1
164	The Bridge on the River Kwai(1957)	1957	8.1
165	Trainspotting(1996)	1996	8.1
166	Three Billboards Outside Ebbing, Missouri(2017)	2017	8.1
167	Warrior(2011)	2011	8.1
168	Gran Torino(2008)	2008	8.1
169	Fargo(1996)	1996	8.1
170	My Neighbor Totoro(1988)	1988	8.1
171	Prisoners(2013)	2013	8.1
172	Million Dollar Baby(2004)	2004	8.1
173	Blade Runner(1982)	1982	8.1
174	Catch Me If You Can(2002)	2002	8.1
175	The Gold Rush(1925)	1925	8.1
176	On the Waterfront(1954)	1954	8.1
177	Children of Heaven(1997)	1997	8.1
178	Harry Potter and the Deathly Hallows: Part 2(2011)	2011	8.1
179	The Third Man(1949)	1949	8.1
180	Gone Girl(2014)	2014	8.1
181	12 Years a Slave(2013)	2013	8.1
182	Ben-Hur(1959)	1959	8.1
183	The General(1926)	1926	8.1
184	The Deer Hunter(1978)	1978	8.1
185	Before Sunrise(1995)	1995	8.1
186	Wild Strawberries(1957)	1957	8.1
187	In the Name of the Father(1993)	1993	8.1
188	The Grand Budapest Hotel(2014)	2014	8.1
189	Mr	1939	8.1
190	Room(2015)	2015	8.1
191	Hacksaw Ridge(2016)	2016	8.1
192	Sherlock Jr	1924	8.1
193	Pather Panchali(1955)	1955	8.1
194	How to Train Your Dragon(2010)	2010	8.1
195	The Wages of Fear(1953)	1953	8.1
196	Barry Lyndon(1975)	1975	8.1
197	Memories of Murder(2003)	2003	8.1
198	The Seventh Seal(1957)	1957	8.1
199	Klaus(2019)	2019	8.1
200	Mad Max: Fury Road(2015)	2015	8.1
201	The Big Lebowski(1998)	1998	8.1
202	Wild Tales(2014)	2014	8.1
203	Monsters, Inc	2001	8.1
204	Mary and Max(2009)	2009	8.1
205	Jaws(1975)	1975	8.1
206	The Passion of Joan of Arc(1928)	1928	8.1
207	Hotel Rwanda(2004)	2004	8.1
208	Rocky(1976)	1976	8.1
209	Dead Poets Society(1989)	1989	8.1
210	Tokyo Story(1953)	1953	8.1
211	Platoon(1986)	1986	8.1
212	Ford v Ferrari(2019)	2019	8.1
213	The Terminator(1984)	1984	8.1
214	Stand by Me(1986)	1986	8.1
215	Rush(2013)	2013	8.0
216	Into the Wild(2007)	2007	8.0
217	Logan(2017)	2017	8.0
218	The Wizard of Oz(1939)	1939	8.0
219	Spotlight(2015)	2015	8.0
220	Network(1976)	1976	8.0
221	Groundhog Day(1993)	1993	8.0
222	Ratatouille(2007)	2007	8.0
223	The Exorcist(1973)	1973	8.0
224	Hachi: A Dog's Tale(2009)	2009	8.0
225	The Incredibles(2004)	2004	8.0
226	Before Sunset(2004)	2004	8.0
227	The Best Years of Our Lives(1946)	1946	8.0
228	Dersu Uzala(1975)	1975	8.0
229	Rebecca(1940)	1940	8.0
230	My Father and My Son(2005)	2005	8.0
231	Cool Hand Luke(1967)	1967	8.0
232	The Grapes of Wrath(1940)	1940	8.0
233	The Battle of Algiers(1966)	1966	8.0
234	Pirates of the Caribbean: The Curse of the Black Pearl(2003)	2003	8.0
235	To Be or Not to Be(1942)	1942	8.0
236	Amores perros(2000)	2000	8.0
237	The Sound of Music(1965)	1965	8.0
238	Life of Brian(1979)	1979	8.0
239	The 400 Blows(1959)	1959	8.0
240	Persona(1966)	1966	8.0
241	It Happened One Night(1934)	1934	8.0
242	La Haine(1995)	1995	8.0
243	Aladdin(1992)	1992	8.0
244	Dune(2021)	2021	8.0
245	Beauty and the Beast(1991)	1991	8.0
246	Gandhi(1982)	1982	8.0
247	The Help(2011)	2011	8.0
248	The Handmaiden(2016)	2016	8.0
249	Dances with Wolves(1990)	1990	8.0
